id,batch,module,severity,category,abi,file,symbol,title,recommendation
FORM-33,B3,FORMAT,high,asymmetric-api,none,src/openms/include/OpenMS/FORMAT/MSPFile.h,"MSPFile::load(const std::string&, PeptideIdentificationList&, PeakMap&)",load() resets the output PeakMap but appends to the output ids list without clearing it,"Add `ids.clear();` next to `exp.reset();` at the top of load(). Behavior-fix in the .cpp, no signature/ABI change. If preserving append semantics is intentional, document it explicitly in the header."
FORM-38,B3,FORMAT,high,silent-failure,source-compatible,src/openms/include/OpenMS/FORMAT/XMassFile.h,XMassFile::load,load() reads fid intensities with no EOF/short-file check; truncated fid yields zero-padded peaks instead of an error,"Have getIntensity() check the stream state after read() and have load() stop / throw Exception::ParseError when the fid stream reaches EOF before acqus.getSize() peaks are read, rather than zero-padding. The fix is internal to the .cpp/handler and ABI-neutral at the XMassFile API level."
FORM-42,B3,FORMAT,high,asymmetric-api,none,src/openms/include/OpenMS/FORMAT/MzIdentMLFile.h,MzIdentMLFile::load,"MzIdentMLFile::load APPENDS to the output containers, while sibling *File::load methods CLEAR them first","Additive, ABI-safe fix: clear poid and peid at the top of MzIdentMLFile::load before constructing the handler (matching IdXMLFile/PepXMLFile). This is a behavior change but the correct/consistent one; document it. No signature/ABI change."
FORM-60,B3,FORMAT,high,asymmetric-api,none,src/openms/include/OpenMS/FORMAT/InspectOutfile.h,InspectOutfile::load,load() appends to the output identification containers without clearing them,"Document the append behavior or clear the output containers at entry to match the clearing loaders. If callers rely on append, at minimum state it in the header. Clearing is a source-compatible behavior change; abi none."
FORM-66,B3,FORMAT,high,misleading-name,source-compatible,src/openms/include/OpenMS/FORMAT/MzTabBase.h,MzTabBoolean::setNull,MzTabBoolean::setNull has inverted polarity vs every sibling setNull,"Fix the body to `value_ = b ? -1 : 0;` so it matches the sibling convention. This is a source-compatible behavior fix (the signature is unchanged); callers currently calling setNull(true) to nullify are themselves buggy. Guard with a test. If existing callers depend on the inverted behavior, add a deprecation note but correct the polarity."
FORM-69,B3,FORMAT,high,asymmetric-api,none,src/openms/include/OpenMS/FORMAT/MzTabFile.h,MzTabFile::load,"load/store round-trip silently drops nucleic-acid, oligonucleotide and OSM sections","Either implement parsing for the NUC/OLI/OSM sections in load(), or at minimum emit a warning/throw when such sections are encountered so the data loss is not silent. Additive to load() impl; no ABI change."
FORM-94,B3,FORMAT,high,param-order-or-bool,none,src/openms/include/OpenMS/FORMAT/XICParquetFile.h,XICParquetFile::getChromatograms,Six adjacent same-typed Int64 filter parameters (all defaulting to -1) are trivially swappable at call sites,Promote the typed ParquetFilter / ParquetFilterBuilder overloads (already present) as the primary API and deprecate or de-emphasize the positional overload; or introduce a small XICQuery struct of named fields. Additive (new overload/struct) keeps ABI; the existing overload can stay for compatibility.
FORM-108,B3,FORMAT,high,silent-failure,none,src/openms/include/OpenMS/FORMAT/RationalScan2ImConverter.h,RationalScan2ImConverter::convert / getCalibration,Unknown/out-of-range frame_id silently falls back to the FIRST calibration instead of failing,"Throw on unknown frame_id (or at least guard calibrations_.begin() against an empty map and document the silent-fallback policy). If fallback must stay for robustness, state it explicitly in the convert() doc."
FORM-109,B3,FORMAT,high,silent-failure,none,src/openms/include/OpenMS/FORMAT/BrukerTimsImagingFile.h,BrukerTimsImagingFile::load,load() silently drops MALDI pixels whose frame id is absent from the loaded spectra (warn-only),"Document the warn-and-drop partial-image behavior in load()'s header contract (it currently lists only throwing failure modes), and consider returning the dropped count or offering a strict mode that throws when any declared pixel is unmatched."
FORM-113,B3,FORMAT,high,surprising-throw,none,src/openms/source/FORMAT/GNPSQuantificationFile.cpp,GNPSQuantificationFile::store,"store() indexes consensus_map[0] unconditionally, throwing/UB on an empty ConsensusMap","Guard with 'if (!consensus_map.empty() && consensus_map[0].metaValueExists(...))'. Additive, no signature change."
FORM-129,B3,FORMAT,high,silent-failure,none,src/openms/include/OpenMS/FORMAT/DATAACCESS/MSChromatogramParquetConsumer.h,MSChromatogramParquetConsumer::~MSChromatogramParquetConsumer / finalize,Destructor writes the file but swallows all write errors; only finalize() surfaces them,"Keep the swallow-in-destructor (throwing from a destructor is worse), but the header could state more prominently that relying on destructor-only finalization hides I/O errors. Documentation-only; no ABI impact."
ANID-10,B4a,ANALYSIS,high,silent-failure,source-compatible,src/openms/include/OpenMS/ANALYSIS/ID/IDBoostGraph.h,IDBoostGraph::getProteinScores_ / GetScoreTgTVisitor,Missing target_decoy meta value silently classifies a protein/peptide as decoy instead of signalling 'unknown',"Use getMetaValue(""target_decoy"", DataValue::EMPTY) and explicitly test for EMPTY, then either throw Exception::MissingInformation or surface a tri-state; at minimum stop scoring an un-annotated hit as a confident decoy. ABI-safe (implementation-only change)."
ANID-13,B4a,ANALYSIS,high,silent-failure,none,src/openms/include/OpenMS/ANALYSIS/ID/AhoCorasickAmbiguous.h,AA::AA(const char),AA(char) reads out of bounds for bytes >= 128 instead of yielding an invalid AA,"Either size the table to 256 (filling 128..255 with the invalid value 27) or mask with `c & 0x7F` only after confirming high bit clear / branch to invalid for c<0 or >=128. The 256-entry table is the additive, ABI-safe fix."
ANID-34,B4a,ANALYSIS,high,ownership-lifetime,breaking,src/openms/include/OpenMS/ANALYSIS/ID/NeighborSeq.h,NeighborSeq::NeighborSeq,rvalue-ref constructor stores a const-reference (no move); passing a temporary dangles immediately,"Either actually own the data (member `std::vector<AASequence> digested_relevant_peptides_;` initialized from std::move — ABI/source change but matches the `&&` contract and removes the dangling trap), or change the parameter to `const std::vector<AASequence>&` so the signature stops promising a move. The first is the least-surprising fix. abi_impact breaking due to member-layout/signature change; do it on the next ABI break, and in the meantime the @note is the only guard."
ANID-36,B4a,ANALYSIS,high,asymmetric-api,none,src/openms/include/OpenMS/ANALYSIS/ID/SimpleSearchEngineAlgorithm.h,SimpleSearchEngineAlgorithm::search,"Doc claims outputs 'are not cleared', but prot_ids is overwritten while pep_ids is appended","Fix the documentation to state that prot_ids is replaced (and pre-existing PSM identifiers are re-stamped), OR make the behavior symmetric (append a new ProteinIdentification run instead of overwriting). Documentation-only fix is non-breaking; making it symmetric is a behavior change. Flagging the ideal as: append a run so both outputs accumulate."
ANID-41,B4a,ANALYSIS,high,surprising-throw,none,src/openms/include/OpenMS/ANALYSIS/ID/NeighborSeq.h,NeighborSeq::NeighborStats::unfindable / noNB / oneNB / multiNB,Percentage formatters divide by total() and crash (integer divide-by-zero) on an empty/default-constructed NeighborStats,"Guard total()==0 (return '0 (0%)' or 'n/a') inside each formatter. Purely additive, non-breaking, and removes a crash on a documented-but-live code path."
ANSW-1,B4b,ANALYSIS,high,silent-failure,source-compatible,src/openms/include/OpenMS/ANALYSIS/OPENSWATH/SwathWindowLoader.h,SwathWindowLoader::readSwathWindows,readSwathWindows silently returns empty vectors when the file is missing or unreadable,"Additive/source-compatible fix: after constructing the ifstream, check `if (!data) throw Exception::FileNotFound(...)`. The sibling annotateSwathMapsFromFile would then surface a clear error for a bad path instead of failing the downstream count check with a confusing message. If preserving silent behavior is mandatory for ABI/back-compat, at minimum emit a WARN; the doc already flags this as surprising."
ANSW-5,B4b,ANALYSIS,high,hidden-side-effect,none,src/openms/include/OpenMS/ANALYSIS/OPENSWATH/SwathQC.h,SwathQC::getSpectraProcessingFunc,"Uniform subsampling index counts only sampled spectra, not all spectra seen, biasing which spectra get analyzed","Increment a true 'seen' counter for every MS1 spectrum entering the lambda and pass THAT as idx to isSubsampledSpectrum_ (separate from the accepted count). This is an internal-impl fix with no signature/ABI change. Note this only manifests when nr_ms1_spectra_>0 (external getExpSettingsFunc/setNrMS1Spectra path); the in-tree static caller is unaffected, which is likely why it went unnoticed."
ANSW-26,B4b,ANALYSIS,high,surprising-default,none,src/openms/include/OpenMS/ANALYSIS/OPENSWATH/DATAACCESS/SpectrumAccessSqMass.h,"SpectrumAccessSqMass::SpectrumAccessSqMass(handler, indices)","Passing an empty index vector silently means 'all spectra', not 'no spectra'","The behavior is documented, but the overload signature does not telegraph it. Prefer a named factory or an explicit 'all spectra' default-constructed marker so an empty selection cannot be confused with 'all'. Additive: add a factory method; do not change existing ctor semantics (ABI/behavior depended on by ChromatogramExtractor). Flag honestly: the ideal fix (empty => empty) would be breaking."
ANSW-41,B4b,ANALYSIS,high,silent-failure,source-compatible,src/openms/include/OpenMS/ANALYSIS/OPENSWATH/MRMFeatureFilter.h,MRMFeatureFilter::calculateIonRatio,calculateIonRatio returns 0.0 sentinel on missing data and divides without guarding against zero denominator,"Document the 0.0/single-value fallbacks explicitly, and guard the division (return NaN or throw on feature_2==0). Additive/source-compatible fix: keep signature, add a denominator==0 guard returning std::numeric_limits<double>::quiet_NaN() and document the missing-key behavior; ABI unchanged."
ANSW-46,B4b,ANALYSIS,high,silent-failure,none,src/openms/source/ANALYSIS/MRM/ReactionMonitoringTransition.cpp,ReactionMonitoringTransition::getPrediction,"getPrediction()'s guard checks the WRONG predicate (hasPrecursorCVTerms instead of hasPrediction), and in release builds dereferences a possibly-null pointer","Fix the precondition to `OPENMS_PRECONDITION(hasPrediction(), ...)`. ABI-safe (function body change only). Ideally also harden against null in release (e.g. throw Exception::InvalidValue when prediction_ == nullptr) for parity with the documented contract; that is also source/ABI compatible."
ANSW-47,B4b,ANALYSIS,high,silent-failure,none,src/openms/source/ANALYSIS/TARGETED/TargetedExperiment.cpp,TargetedExperiment::getProteinByRef / getPeptideByRef / getCompoundByRef,"By-ref getters return a reference into a map populated with operator[], silently inserting/returning a null entry for an unknown ref in release builds","Replace operator[] with `.at(ref)` or an iterator find + explicit throw (e.g. Exception::ElementNotFound) so an unknown ref is a deterministic error in all build types and does not mutate the cache. Body-only change; ABI-safe. Callers already must check has*() first, so behavior for valid refs is unchanged."
ANSW-77,B4b,ANALYSIS,high,unit-or-index,none,src/openms/source/ANALYSIS/OPENSWATH/TargetedSpectraExtractor.cpp,TargetedSpectraExtractor::annotateSpectra,"ppm 'mz_tolerance' is divided by 1e6 but never multiplied by m/z, yielding a tolerance ~1e6x too small in ppm mode","In ppm mode compute 'mz_tolerance = mz_tolerance_ * spectrum_mz / 1e6' (ppm is relative to the measured m/z). Behavioral fix, ABI-neutral. Add a regression test asserting the ppm window scales with m/z."
ANAL-1,B4c,ANALYSIS,high,asymmetric-api,source-compatible,src/openms/include/OpenMS/ANALYSIS/MAPMATCHING/FeatureGroupingAlgorithmUnlabeled.h,FeatureGroupingAlgorithmUnlabeled::getResultMap,"Incremental path (setReference/addToGroup/getResultMap) yields a different, un-postprocessed result than group()","Document that getResultMap() returns the raw incremental result and that the caller must perform postprocessing/header setup themselves (as FeatureLinkerUnlabeled does), or add a finalizeResult() helper. Do not silently change getResultMap to run postprocess_ (would change existing TOPP output ordering). Doc fix is source-compatible."
ANAL-9,B4c,ANALYSIS,high,silent-failure,none,src/openms/source/ANALYSIS/MAPMATCHING/MapAlignmentEvaluationAlgorithmRecall.cpp,MapAlignmentEvaluationAlgorithmRecall::evaluate,"evaluate() divides by ground-truth size (and by cons_map_tool.size()) with no guard, returning NaN/inf instead of signaling on empty input","Guard against empty cons_map_gt and empty cons_map_tool before dividing (throw or return a documented sentinel). Additive early checks, ABI-safe."
ANAL-29,B4c,ANALYSIS,high,silent-failure,none,src/openms/source/ANALYSIS/QUANTITATION/ItraqEightPlexQuantitationMethod.cpp,ItraqEightPlexQuantitationMethod::getReferenceChannel / updateMembers_,Setting reference_channel=120 (an allowed param value) silently leaves the reference channel at a stale index,"Make the invalid 120 selection a hard error: throw Exception::InvalidParameter in updateMembers_() for ref_ch==120 instead of only logging, or tighten validation so 120 cannot be set (e.g. setValidStrings/an explicit allowed-values check). Additive and ABI-safe (no signature change)."
ANAL-33,B4c,ANALYSIS,high,silent-failure,source-compatible,src/openms/include/OpenMS/ANALYSIS/QUANTITATION/AbsoluteQuantitation.h,AbsoluteQuantitation::calculateRatio,calculateRatio returns 0.0 instead of signaling a missing feature/value,"Either throw Exception::UnableToFit (as documented) when the feature/IS value is missing, or return std::optional / a NaN sentinel that callers must check. Behavior change; gate behind a flag if existing pipelines rely on the 0.0 fallback. Doc-only fix (drop the bogus @exception) is the minimal source-compatible step."
ANAL-42,B4c,ANALYSIS,high,silent-failure,none,src/openms/include/OpenMS/ANALYSIS/NUXL/NuXLFDR.h,NuXLFDR::splitIntoPeptidesAndXLs,"splitIntoPeptidesAndXLs keeps only the single first hit overall, not the first hit of each class as documented","If both-class capture is intended (as the header claims), gate each branch on its own vector being empty (`if (pep_ph.empty())` / `if (xl_ph.empty())`). If single-best-hit is intended, fix the header doc to say so. Behavior change is the FDR-correct fix; doc fix is the conservative one. ABI: either is source-compatible."
ANAL-43,B4c,ANALYSIS,high,silent-failure,none,src/openms/include/OpenMS/ANALYSIS/NUXL/NuXLFDR.h,NuXLFDR::calculatePeptideAndXLQValueAndFilterAtPSMLevel,Tie-breaker divides by score range and silently produces inf/NaN scores when all XL hits share one score,Guard `if (score_range <= 0) skip tie-break` (or add an epsilon). Additive and non-breaking. ABI: source-compatible.
ANAL-51,B4c,ANALYSIS,high,hidden-side-effect,none,src/openms/include/OpenMS/ANALYSIS/NUXL/NuXLPresets.h,NuXLPresets::getPresets,getPresets mutates the global ResidueDB singleton (adds methionine loss) for DEB/NM presets,"Document the ResidueDB mutation prominently in the header doc (@note that calling this with a DEB/NM preset alters global Methionine chemistry). Ideally move the residue-loss registration out of the preset getter into an explicit, separately-named setup call (e.g. applyPresetChemistry(...)) so a pure 'get' has no global effect — additive and source-compatible if the old behavior is preserved behind a deprecated path."
ANAL-58,B4c,ANALYSIS,high,surprising-crash,none,src/openms/include/OpenMS/ANALYSIS/TOPDOWN/DeconvolvedSpectrum.h,DeconvolvedSpectrum::toSpectrum,"toSpectrum() dereferences peak_groups_[0] with no empty check, crashing on an empty DeconvolvedSpectrum","Add an early `if (peak_groups_.empty()) return out_spec;` (or branch the chargemass metadata) before indexing peak_groups_[0]. Pure implementation fix, no ABI/signature change."
FEAT-28,B5,FEATUREFINDER,high,silent-failure,none,src/openms/source/FEATUREFINDER/SeedListGenerator.cpp,SeedListGenerator::generateSeedList,generateSeedList dereferences a possibly-end precursor iterator and indexes precursors[0] without bounds checks,"Guard the loop body: skip the spectrum when precursors.empty() or prec_it == experiment.end(). Additive, no ABI change (implementation-only fix)."
FEAT-35,B5,FEATUREFINDER,high,hidden-side-effect,source-compatible,src/openms/include/OpenMS/FEATUREFINDER/Biosaur2Algorithm.h,Biosaur2Algorithm::run,run() destructively mutates the stored MS data set via setMSData(); getMSData() no longer returns what was set,"Operate on a local copy of ms_data_ inside run() so the stored data is preserved and run() is idempotent (behavior change, but source-compatible). Minimally, strengthen the header note to say the stored data is irreversibly modified and run() is not re-entrant on the same instance."
FEAT-38,B5,FEATUREFINDER,high,hidden-side-effect,none,src/openms/include/OpenMS/FEATUREFINDER/ElutionPeakDetection.h,ElutionPeakDetection::filterByPeakWidth,filterByPeakWidth unconditionally prints to std::cout and indexes the result vector without an empty check,Remove the std::cout diagnostic (or gate it behind a debug macro) and guard the indexing with `if (!filt_mtraces.empty())`. Both are additive and ABI-safe.
PROC-15,B5,PROCESSING,high,hidden-side-effect,none,src/openms/include/OpenMS/PROCESSING/FILTERING/NLargest.h,NLargest::filterSpectrum,"Filtering reorders the spectrum to descending-intensity order, not just removing peaks","Re-sort the spectrum by position after select() (e.g. spectrum.sortByPosition()), or clearly document in the header that the spectrum is left in descending-intensity order. ABI-safe: it is an implementation-body change in an inline template. If callers depend on the current order, add a bool keep_order param with a default preserving today's behavior."
PROC-16,B5,PROCESSING,high,hidden-side-effect,source-compatible,src/openms/include/OpenMS/PROCESSING/SCALING/RankScaler.h,RankScaler::filterSpectrum,RankScaler leaves the spectrum sorted by intensity (not m/z) after scaling,"Call spectrum.sortByPosition() at the end, or document that the spectrum is returned in intensity-sorted order. ABI-safe inline-body change."
PROC-23,B5,PROCESSING,high,silent-failure,none,src/openms/source/PROCESSING/NOISEESTIMATION/SignalToNoiseEstimator.cpp,estimateNoiseFromRandomScans,"Random-scan picker indexes exp[] directly with a random number, not via the filtered scan-index list, so it can sample wrong-MS-level / empty spectra (and overrun exp)",Index through the filter list: `UInt scan = spec_indices[(Size)(distribution(generator) * (spec_indices.size()-1))];` then `exp[scan]`. This is a pure source-compatible bug fix (no signature change). Also clamp idx for tiny spectra.
PROC-31,B5,PROCESSING,high,hidden-side-effect,none,src/openms/source/PROCESSING/FEATURE/FeatureOverlapFilter.cpp,FeatureOverlapFilter::mergeFAIMSFeatures,"mergeFAIMSFeatures silently wipes protein IDs, peptide IDs, data processing and meta info via feature_map.clear()","Call feature_map.clear(false) to keep attached metadata, or repopulate data in place via swap of the feature container only. This is a bug fix that is source- and ABI-compatible (no signature change). Also document that unassigned peptide IDs are not carried through the merge."
PROC-32,B5,PROCESSING,high,silent-failure,source-compatible,src/openms/include/OpenMS/PROCESSING/ID/IDFilter.h,"IDFilter::filterHitsByScore(std::vector<IdentificationType>&, double, IDScoreSwitcherAlgorithm::ScoreType)","Doc and warning claim hits are removed when score_type is missing, but hits are silently kept","Decide on one behavior and make code, note and warning agree: either clear hits of IDs whose score_type is absent (matching the documented contract) or change the note/warning to say such hits are left untouched. Body-only change; source- and ABI-compatible."
PROC-33,B5,PROCESSING,high,hidden-side-effect,source-compatible,src/openms/include/OpenMS/PROCESSING/BASELINE/MorphologicalFilter.h,MorphologicalFilter::filterRange / applyErosion_ / applyDilation_,"Public filter uses function-local static buffers, making filter()/filterExperiment() non-reentrant and not thread-safe","Make the scratch buffers per-instance members (or stack-local) instead of static. Note this changes templated inline code that is recompiled by clients, so it is source-compatible but technically a header/inline-definition change; gate behind a minor version. Document thread-safety expectations in the class docs regardless."
MATH-7,B6,MATH,high,misleading-name,source-compatible,src/openms/include/OpenMS/MATH/StatisticFunctions.h,Math::absdev,"absdev (""absolute deviation"") sums SIGNED deviations, not absolute ones - always ~0 for the default mean","This is a latent bug, not just a naming issue. Add fabs: `sum_value += std::fabs(*iter - mean);` so it actually computes mean absolute deviation. Since the current result is essentially meaningless (~0), fixing it is source/ABI-compatible at the signature level; only the (broken) numeric output changes. Alternatively deprecate in favor of the already-correct MeanAbsoluteDeviation."
MATH-14,B6,MATH,high,silent-failure,none,src/openms/include/OpenMS/MATH/STATISTICS/MultipleTesting.h,Math::MultipleTesting::computeModelFDR,computeModelFDR returns an all-NaN vector (no throw) when any input PEP is NaN,"Document the all-or-nothing NaN propagation in the brief, or filter NaNs like qValue() does instead of poisoning the whole output. Doc-only fix is ABI-safe; filtering changes output values (source-compatible)."
ML-10,B6,ML,high,surprising-throw,source-compatible,src/openms/include/OpenMS/ML/CLUSTERING/ClusteringGrid.h,ClusteringGrid::getClusters,"getClusters dereferences map end() (UB / crash) for an empty cell, undocumented","Guard the lookup: return an empty list when the cell is absent (additive, ABI-safe, no signature change). At minimum document the precondition that the cell must be non-empty."
ML-21,B6,ML,high,misleading-name,source-compatible,src/openms/source/ML/ROCCURVE/ROCCurve.cpp,ROCCurve::cutoffNeg,cutoffNeg() iterates only over positive samples but divides by the negative count,"The negative-class loop should test '!cit->second'. Fix the predicate to '!cit->second' (and verify against the rocN convention). Source-compatible behavioral fix; document the threshold semantics. The class is already marked '[buggy and usage is discouraged]', which corroborates this."
COMP-1,B6,COMPARISON,high,silent-failure,source-compatible,src/openms/include/OpenMS/COMPARISON/BinnedSharedPeakCount.h,"BinnedSharedPeakCount::operator()(const BinnedSpectrum&, const BinnedSpectrum&)",Documented @throw IncompatibleBinning never happens; mismatched binning is silently unchecked in release builds,"Either (a) restore the documented contract by throwing Exception::IncompatibleBinning (or a real exception) unconditionally when !isCompatible(...), independent of OPENMS_ASSERTIONS, or (b) correct the header to drop the @throw IncompatibleBinning line and state that compatibility is only checked in assertion-enabled builds. Option (a) is source-compatible (adds a throw on a currently-UB path); (b) is doc-only."
COMP-3,B6,COMPARISON,high,silent-failure,source-compatible,src/openms/include/OpenMS/COMPARISON/BinnedSumAgreeingIntensities.h,"BinnedSumAgreeingIntensities::operator()(const BinnedSpectrum&, const BinnedSpectrum&)",Documented @throw IncompatibleBinning never thrown; incompatible bins silently produce a garbage score in release builds,"Throw a real exception (Exception::IncompatibleBinning / IllegalArgument) unconditionally on !isCompatible, or fix the header to remove the false @throw guarantee. Adding an unconditional throw on a currently-UB path is source-compatible."
COMP-4,B6,COMPARISON,high,silent-failure,source-compatible,src/openms/include/OpenMS/COMPARISON/BinnedSpectralContrastAngle.h,"BinnedSpectralContrastAngle::operator()(const BinnedSpectrum&, const BinnedSpectrum&)",Documented @throw IncompatibleBinning never thrown; division by sqrt of empty-spectrum norms can return NaN with no error,"Throw unconditionally on incompatible binning, and guard the normalization (return 0.0 when either norm is 0) so the score never silently becomes NaN. Both are additive/source-compatible. Also correct the header @throw line."
COMP-6,B6,COMPARISON,high,surprising-default,none,src/openms/include/OpenMS/COMPARISON/SpectraSTSimilarityScore.h,SpectraSTSimilarityScore::dot_bias,dot_bias default -1 does NOT trigger recomputation; only 0 does,"Fix the implementation to honor the documented sentinel: branch on `if (dot_product >= 0)` (or `!= -1`) and recompute otherwise; or change the default and doc to 0. ABI-neutral (implementation/doc fix). If changing the default value, that is source-compatible only."
QC-3,B7,QC,high,inconsistent-convention,none,src/openms/source/QC/FragmentMassError.cpp,FragmentMassError::compute,"Two compute() overloads compute the average/variance differently, yielding different results","Restructure the list overload to mirror the FeatureMap overload: full accumulation pass, compute the final average once, then a second pass for variance. This is an implementation fix only; no signature/ABI change."
QC-8,B7,QC,high,misleading-name,none,src/openms/include/OpenMS/QC/PeptideMass.h,PeptideMass::compute,"PeptideMass annotates the OBSERVED mass from precursor m/z, not the theoretical mass the name/docs promise","Either rename/redocument the metavalue and method to reflect that it is the observed neutral mass derived from precursor m/z (source-compatible doc fix; metavalue rename is breaking), or change the implementation to compute the sequence theoretical mass via AASequence (behavior change). At minimum fix the doc to stop calling it 'theoretical'."
QC-11,B7,QC,high,silent-failure,source-compatible,src/openms/include/OpenMS/QC/QCBase.h,QCBase::names_of_requires / QCBase::Requires,"names_of_requires[] is missing the entry for Requires::ID, causing an out-of-bounds read in isRunnable()",Add the missing 'ID' string (and an entry for the NOTHING/SIZE bookkeeping if intended) so the array length matches the enum; keep it append-only to preserve indices. Source-compatible additive fix.
SYST-6,B7,SYSTEM,high,surprising-crash,source-compatible,src/openms/include/OpenMS/SYSTEM/File.h,File::getPathLocations / File::executableExtensions_,"Default argument std::getenv(""PATH"") constructs a std::string from a possibly-null pointer (UB/crash) when PATH is unset","Change the default to a const char* / nullptr-safe wrapper (e.g. default to """" and resolve getenv internally with a null check), so an unset PATH/PATHEXT yields an empty result instead of UB. The public getPathLocations is the ABI-relevant one; a null-guard inside the body plus a safe default is source-compatible."
CONC-1,B1,CONCEPT,medium,hidden-side-effect,source-compatible,src/openms/include/OpenMS/CONCEPT/Exception.h,Exception::BaseException::BaseException,Constructing any OpenMS exception silently mutates process-global state,"Document loudly in the header that constructing an exception writes to the global handler; longer-term, move the set() call out of the constructor and into the throw path (or a GlobalExceptionHandler::record(e) called by the terminate handler) so that constructing a non-thrown exception has no side effect. ABI: doc-only change is none; relocating the set() call is source-compatible (no signature change)."
CONC-4,B1,CONCEPT,medium,ownership-lifetime,source-compatible,src/openms/include/OpenMS/CONCEPT/Helpers.h,OpenMS::Helpers::constifyPointerVector,constifyPointerVector reinterpret_casts between unrelated vector types (UB) and returns a reference aliasing the argument,"Document that the returned reference aliases the input (must outlive the result) and the UB caveat; ideally replace with a function returning a freshly built `std::vector<std::shared_ptr<const T>>` by value, or a span/range view. ABI: an additive const-correct overload plus deprecation keeps callers compiling."
